dog_breed,confidence_rate,is_dog
Golden Retriever,71.12,True
Otterhound,6.82,True
Sussex Spaniel,4.66,True
Bloodhound,18.65,True
Brabancon Griffon,13.9,True
Rottweiler,12.59,True
Barbell,97.16,False
Dumbbell,2.84,False
Go-Kart,0.0,False
Prison,35.28,False
Dishwasher,11.07,False
File,9.41,False
Barrow,42.32,False
Bernese Mountain Dog,41.54,True
Entlebucher,6.73,True
Cardigan,39.45,True
Chihuahua,7.73,True
French Bulldog,7.66,True
Web Site,91.96,False
Menu,2.63,False
Crossword Puzzle,0.35,False
Car Mirror,97.15,False
Seat Belt,0.71,False
Standard Poodle,0.57,True
Pug,99.7,True
Bull Mastiff,0.1,True
French Bulldog,0.09,True
Yorkshire Terrier,24.9,True
Maltese Dog,16.64,True
Shih-Tzu,14.23,True
Tennis Ball,71.48,False
Kelpie,10.54,True
Malinois,5.86,True
Shetland Sheepdog,75.99,True
Collie,10.74,True
Pembroke,5.23,True
Chihuahua,29.21,True
Toy Terrier,13.69,True
Bonnet,10.31,False
Schipperke,90.76,True
Crossword Puzzle,1.79,False
Chihuahua,1.62,True
Patio,52.18,False
Prison,14.95,False
Restaurant,2.72,False
Fountain,99.75,False
American Black Bear,0.14,False
Sundial,0.07,False
Flat-Coated Retriever,82.36,True
Newfoundland,10.06,True
Groenendael,3.83,True
Malamute,54.46,True
Siberian Husky,29.03,True
Eskimo Dog,15.44,True
Bedlington Terrier,33.35,True
Ibizan Hound,24.58,True
Wallaby,13.16,False
Sea Lion,88.27,False
Mink,6.69,False
Otter,2.57,False
Bernese Mountain Dog,95.13,True
Greater Swiss Mountain Dog,1.68,True
Appenzeller,1.08,True
Cardigan,41.37,True
Boston Bull,38.18,True
Doormat,6.59,False
Airedale,49.54,True
Irish Terrier,31.65,True
Lakeland Terrier,15.85,True
Staffordshire Bullterrier,21.96,True
American Staffordshire Terrier,17.87,True
Pug,12.33,True
White Wolf,12.89,False
American Staffordshire Terrier,11.34,True
Dingo,8.12,False
Shetland Sheepdog,45.05,True
Papillon,18.79,True
Collie,14.01,True
Golden Retriever,65.0,True
Leonberg,6.52,True
Norfolk Terrier,5.3,True
Giant Schnauzer,34.65,True
Flat-Coated Retriever,21.85,True
Labrador Retriever,10.8,True
Golden Retriever,96.11,True
Labrador Retriever,1.67,True
Tibetan Mastiff,0.91,True
Samoyed,97.98,True
Chow,1.59,True
White Wolf,0.13,False
Chow,80.87,True
Groenendael,12.31,True
Newfoundland,2.21,True
Dandie Dinmont,39.44,True
Maltese Dog,18.65,True
West Highland White Terrier,18.2,True
Irish Water Spaniel,56.75,True
Labrador Retriever,16.95,True
Curly-Coated Retriever,10.15,True
Tennis Ball,99.93,False
Racket,0.04,False
Shetland Sheepdog,0.01,True
Labrador Retriever,74.24,True
Golden Retriever,19.52,True
Chihuahua,1.73,True
Washer,90.31,False
Dishwasher,3.25,False
Printer,1.65,False
Labrador Retriever,71.95,True
Chesapeake Bay Retriever,12.2,True
Newfoundland,3.88,True
Labrador Retriever,92.25,True
Golden Retriever,7.44,True
Great Pyrenees,0.23,True
Labrador Retriever,43.06,True
Golden Retriever,26.36,True
Great Pyrenees,17.94,True
Pembroke,95.85,True
Cardigan,2.38,True
Chihuahua,0.53,True
Labrador Retriever,46.11,True
Golden Retriever,15.49,True
Chihuahua,11.02,True
Tub,66.52,False
Bucket,10.52,False
Labrador Retriever,2.93,True
Pembroke,68.51,True
Cardigan,31.46,True
Basenji,0.02,True
French Bulldog,89.12,True
Soccer Ball,2.28,False
Bull Mastiff,1.29,True
Chow,29.35,True
Newfoundland,18.13,True
Schipperke,12.52,True
Chihuahua,54.74,True
Bow Tie,19.84,False
Pembroke,5.85,True
Military Uniform,85.37,False
Labrador Retriever,4.82,True
Groenendael,1.54,True
Afghan Hound,90.37,True
Saluki,3.52,True
Bloodhound,2.66,True
Brittany Spaniel,96.3,True
Blenheim Spaniel,1.48,True
Clumber,0.96,True
Web Site,84.18,False
Rule,0.71,False
Envelope,0.68,False
Golden Retriever,71.11,True
Cocker Spaniel,15.79,True
Labrador Retriever,5.96,True
Teapot,98.18,False
Cup,1.4,False
Coffeepot,0.24,False
Chesapeake Bay Retriever,86.4,True
Labrador Retriever,5.26,True
Kelpie,3.26,True
Staffordshire Bullterrier,60.49,True
American Staffordshire Terrier,31.15,True
Boston Bull,3.72,True
Swing,39.35,False
Norwich Terrier,5.25,True
Pembroke,4.99,True
Leonberg,92.7,True
Newfoundland,5.0,True
Saint Bernard,1.07,True
Border Terrier,66.45,True
Brabancon Griffon,17.05,True
Yorkshire Terrier,8.78,True
Kelpie,21.66,True
Doormat,14.0,False
Dalmatian,13.28,True
Great Pyrenees,99.77,True
Kuvasz,0.1,True
Newfoundland,0.04,True
Chow,80.1,True
Seat Belt,16.41,False
Pomeranian,1.8,True
Golden Retriever,88.76,True
Labrador Retriever,6.87,True
Kuvasz,3.04,True
Birdhouse,54.12,False
Can Opener,12.11,False
Carton,5.61,False
Norwegian Elkhound,97.63,True
Keeshond,1.4,True
Seat Belt,0.21,False
Siberian Husky,76.77,True
Eskimo Dog,21.71,True
Malamute,1.17,True
Shopping Cart,57.24,False
Shopping Basket,41.4,False
Toy Poodle,0.59,True
Mortarboard,93.69,False
Academic Gown,2.08,False
Schipperke,1.16,True
Leopard,79.74,False
Jaguar,9.55,False
Snow Leopard,7.97,False
Wooden Spoon,8.25,False
Sliding Door,6.1,False
Grand Piano,5.51,False
Borzoi,56.47,True
Ice Bear,7.83,False
Pembroke,5.79,True
Samoyed,96.36,True
White Wolf,1.98,False
Malamute,0.59,True
Staffordshire Bullterrier,61.07,True
Muzzle,13.21,False
American Staffordshire Terrier,10.95,True
Rottweiler,34.13,True
Border Terrier,33.62,True
Gordon Setter,4.54,True
Hyena,73.69,False
Chesapeake Bay Retriever,8.75,True
Meerkat,4.21,False
Border Collie,66.31,True
Collie,15.25,True
Cardigan,3.55,True
Swing,96.71,False
American Staffordshire Terrier,1.27,True
Staffordshire Bullterrier,0.7,True
Ice Bear,33.06,False
Soft-Coated Wheaten Terrier,19.65,True
Irish Terrier,7.31,True
Border Terrier,15.63,True
Norwegian Elkhound,12.59,True
Boston Bull,9.66,True
Toilet Tissue,26.29,False
Golden Retriever,22.66,True
Bathtub,7.89,False
Rhodesian Ridgeback,46.86,True
Whippet,17.75,True
Redbone,10.66,True
Golden Retriever,75.48,True
Pekinese,19.79,True
Labrador Retriever,0.87,True
Ox,99.17,False
Bison,0.53,False
Water Buffalo,0.11,False
Bath Towel,73.68,False
Sleeping Bag,6.3,False
Labrador Retriever,4.53,True
Kuvasz,49.5,True
Great Pyrenees,31.26,True
Golden Retriever,14.17,True
Chihuahua,43.81,True
Kelpie,14.97,True
Pembroke,9.65,True
West Highland White Terrier,91.81,True
Maltese Dog,2.57,True
Lakeland Terrier,2.02,True
Golden Retriever,72.7,True
Cocker Spaniel,7.11,True
Tibetan Mastiff,4.87,True
Cardigan,71.05,True
Kelpie,10.61,True
Shopping Cart,5.55,False
Boxer,53.9,True
French Bulldog,31.76,True
Bull Mastiff,9.39,True
Cardigan,16.09,True
Staffordshire Bullterrier,15.94,True
Boston Bull,15.44,True
Eskimo Dog,52.5,True
Siberian Husky,25.22,True
Malamute,21.68,True
Pekinese,98.89,True
Brabancon Griffon,0.17,True
Siamese Cat,0.11,False
Kelpie,50.47,True
German Short-Haired Pointer,10.52,True
Staffordshire Bullterrier,5.43,True
Pembroke,13.41,True
Ice Bear,5.19,False
Pug,4.43,True
Whippet,60.17,True
Ibizan Hound,15.27,True
Italian Greyhound,13.51,True
Pomeranian,15.39,True
Marmot,9.12,False
Grey Fox,9.06,False
Bloodhound,77.76,True
Great Dane,4.74,True
Leonberg,1.79,True
Pembroke,62.48,True
Cardigan,36.29,True
Appenzeller,0.39,True
Eskimo Dog,53.04,True
Siberian Husky,18.03,True
Norwegian Elkhound,10.43,True
Chihuahua,25.74,True
Pembroke,16.14,True
French Bulldog,9.21,True
Old English Sheepdog,99.97,True
Tibetan Terrier,0.0,True
Guinea Pig,0.0,False
Briard,98.28,True
Soft-Coated Wheaten Terrier,0.91,True
Bouvier Des Flandres,0.47,True
Doberman,36.94,True
Kelpie,13.24,True
Labrador Retriever,7.47,True
Cocker Spaniel,26.33,True
Brittany Spaniel,20.05,True
Doormat,19.34,False
Kuvasz,45.15,True
Golden Retriever,31.72,True
English Setter,13.28,True
Labrador Retriever,90.87,True
Seat Belt,5.71,False
Pug,1.19,True
Toy Poodle,44.27,True
Pomeranian,14.21,True
Pekinese,12.57,True
Border Terrier,39.45,True
Staffordshire Bullterrier,37.66,True
American Staffordshire Terrier,3.13,True
French Bulldog,95.09,True
Pekinese,1.52,True
Pug,1.11,True
Labrador Retriever,31.52,True
Golden Retriever,15.32,True
Pekinese,13.28,True
Golden Retriever,57.31,True
Cocker Spaniel,11.12,True
Gibbon,9.41,False
Boxer,31.22,True
Dalmatian,24.4,True
Conch,13.03,False
Seat Belt,76.6,False
Chesapeake Bay Retriever,3.39,True
Polecat,2.73,False
Hippopotamus,94.29,False
Mexican Hairless,0.84,True
Ice Lolly,0.62,False
Golden Retriever,64.92,True
Chesapeake Bay Retriever,19.86,True
Vizsla,5.62,True
Teddy,90.85,False
Toy Poodle,1.8,True
Standard Poodle,1.27,True
Weimaraner,13.3,True
Chesapeake Bay Retriever,9.22,True
American Staffordshire Terrier,6.51,True
Bedlington Terrier,39.25,True
Labrador Retriever,8.9,True
Clumber,8.18,True
American Staffordshire Terrier,52.31,True
Staffordshire Bullterrier,18.62,True
Chihuahua,4.21,True
Malamute,66.3,True
Eskimo Dog,20.78,True
Tibetan Mastiff,4.09,True
Patio,27.3,False
Window Screen,13.13,False
Boathouse,4.64,False
American Staffordshire Terrier,93.67,True
Staffordshire Bullterrier,3.3,True
Bull Mastiff,1.72,True
German Shepherd,80.61,True
Tibetan Mastiff,10.48,True
Kelpie,3.81,True
Collie,28.56,True
Border Collie,21.73,True
Saint Bernard,14.32,True
Pembroke,32.56,True
Golden Retriever,31.72,True
Labrador Retriever,11.61,True
Golden Retriever,35.25,True
Toy Poodle,17.89,True
Labrador Retriever,8.42,True
Great Dane,86.97,True
American Staffordshire Terrier,2.67,True
Boxer,1.99,True
Golden Retriever,61.74,True
Labrador Retriever,33.71,True
Tennis Ball,0.86,False
Great Pyrenees,85.88,True
Golden Retriever,2.35,True
Pekinese,1.71,True
French Bulldog,62.81,True
Siamese Cat,11.74,False
Cougar,8.28,False
German Shepherd,74.19,True
Tibetan Mastiff,12.28,True
Kelpie,10.05,True
French Bulldog,90.3,True
Pug,9.62,True
Boston Bull,0.02,True
Labrador Retriever,78.21,True
Golden Retriever,15.66,True
Soft-Coated Wheaten Terrier,0.73,True
Tennis Ball,99.71,False
Golden Retriever,0.23,True
Kuvasz,0.03,True
Shopping Cart,99.59,False
Shopping Basket,0.41,False
Mousetrap,0.0,False
Great Pyrenees,85.34,True
Golden Retriever,5.35,True
English Setter,4.58,True
Rottweiler,68.15,True
Tibetan Mastiff,14.79,True
Black-And-Tan Coonhound,2.45,True
Pekinese,35.48,True
Pomeranian,24.54,True
Toy Poodle,13.65,True
Eskimo Dog,52.45,True
Siberian Husky,46.77,True
Malamute,0.5,True
Border Terrier,61.05,True
Malinois,9.03,True
Airedale,6.86,True
English Setter,52.65,True
Golden Retriever,40.28,True
Irish Setter,3.44,True
Pembroke,99.08,True
Cardigan,0.89,True
Basenji,0.03,True
Teddy,58.82,False
Jigsaw Puzzle,2.89,False
Doormat,2.23,False
Schipperke,23.41,True
Curly-Coated Retriever,19.31,True
Labrador Retriever,9.52,True
Cairn,20.4,True
Snorkel,17.19,False
Norfolk Terrier,10.75,True
Dingo,28.09,False
German Shepherd,19.4,True
Pembroke,12.01,True
Cowboy Boot,99.03,False
Chihuahua,0.18,True
Papillon,0.13,True
Bathtub,33.11,False
Tub,24.89,False
Pembroke,23.32,True
Lakeland Terrier,19.6,True
Labrador Retriever,16.03,True
Irish Terrier,6.91,True
Malinois,33.29,True
Chihuahua,10.41,True
Staffordshire Bullterrier,4.77,True
Cocker Spaniel,66.45,True
Norfolk Terrier,7.51,True
Norwich Terrier,5.96,True
Samoyed,41.68,True
Malamute,25.27,True
Kuvasz,15.7,True
Pomeranian,96.02,True
Samoyed,2.31,True
Maltese Dog,0.89,True
Samoyed,58.54,True
Pomeranian,19.37,True
Arctic Fox,7.16,False
Golden Retriever,26.62,True
Cocker Spaniel,22.33,True
Irish Setter,15.16,True
Golden Retriever,98.01,True
Labrador Retriever,0.88,True
Saluki,0.18,True
Doberman,76.35,True
Black-And-Tan Coonhound,13.66,True
Miniature Pinscher,8.77,True
Irish Setter,50.55,True
Vizsla,16.87,True
Chesapeake Bay Retriever,11.13,True
German Shepherd,51.59,True
Malinois,20.37,True
Irish Setter,9.11,True
Pomeranian,85.66,True
Papillon,3.85,True
Yorkshire Terrier,3.31,True
Old English Sheepdog,14.8,True
Airedale,13.35,True
Tibetan Mastiff,12.09,True
Golden Retriever,83.8,True
Pekinese,5.67,True
Labrador Retriever,2.39,True
West Highland White Terrier,87.21,True
Kuvasz,5.95,True
Samoyed,3.74,True
Gordon Setter,94.07,True
Black-And-Tan Coonhound,4.2,True
Rottweiler,0.94,True
School Bus,99.98,False
Cab,0.02,False
Crane,0.0,False
American Staffordshire Terrier,92.55,True
Staffordshire Bullterrier,3.62,True
Italian Greyhound,2.04,True
Bathtub,10.09,False
Shower Curtain,9.19,False
Tub,4.92,False
Acorn Squash,84.87,False
Toilet Seat,4.43,False
Toy Poodle,2.2,True
Cardigan,54.79,True
Basenji,11.64,True
Shetland Sheepdog,10.17,True
Rottweiler,90.91,True
Black-And-Tan Coonhound,4.41,True
Doberman,3.18,True
Border Terrier,48.25,True
German Shepherd,18.11,True
Norwegian Elkhound,6.53,True
Prison,90.71,False
Palace,2.01,False
Umbrella,0.78,False
Standard Poodle,35.13,True
Toy Poodle,27.19,True
Tibetan Terrier,9.48,True
Labrador Retriever,38.42,True
Beagle,25.59,True
Grocery Store,7.98,False
Chihuahua,45.07,True
Border Terrier,20.42,True
Beagle,9.28,True
Swing,99.94,False
Welsh Springer Spaniel,0.01,True
Bow,0.0,False
Miniature Schnauzer,36.74,True
Toy Poodle,11.25,True
Standard Schnauzer,9.54,True
Golden Retriever,62.19,True
Labrador Retriever,36.5,True
Redbone,0.4,True
Cocker Spaniel,38.76,True
Golden Retriever,26.48,True
Pekinese,12.21,True
Curly-Coated Retriever,73.33,True
Flat-Coated Retriever,21.41,True
Irish Water Spaniel,2.98,True
Pug,97.14,True
French Bulldog,2.85,True
Boston Bull,0.01,True
Ice Bear,33.62,False
Samoyed,20.14,True
Eskimo Dog,18.68,True
Doberman,80.62,True
Black-And-Tan Coonhound,9.74,True
Miniature Pinscher,8.6,True
Golden Retriever,29.55,True
Irish Setter,14.44,True
Chesapeake Bay Retriever,7.79,True
Saluki,56.88,True
Afghan Hound,22.94,True
Golden Retriever,15.71,True
Kelpie,86.44,True
French Bulldog,9.75,True
German Shepherd,0.85,True
Malamute,66.82,True
Pembroke,10.5,True
Siberian Husky,7.79,True
Chihuahua,75.7,True
Pomeranian,5.28,True
Maltese Dog,4.76,True
